stkcd	stknm	year	province	region_name	city	indnm	sub_ind	rd_high	rd_me	innov_qual1	innov_qual2	hr_struct	human_cap	oper_eff	tech_dens	profit	growth_exp	de_involution_index
66	中国长城	2023	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.114962799	0.321145975	1	0	0.103274216	21.7975	0.3947	0.022242	-0.065	-0.04328	0.7168494
153	丰原药业	2017	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.024542437	0.028877707	1	0	0.126230584	6.579	0.9806	0.043277	0.0253	0.267702	0.6034616
153	丰原药业	2018	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.029170191	0.03320723	1	0	0.149432535	7.0083	1.0435	0.044871	0.0201	0.168841	0.6530614
153	丰原药业	2019	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.027316407	0.034275921	1	0	0.153170523	7.4693	0.9861	0.038247	0.0249	0.074557	0.6105286
153	丰原药业	2020	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.027874653	0.035118525	1	0	0.16286216	7.4709	0.9231	0.043032	0.0307	0.025669	0.6444026
153	丰原药业	2021	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.026889264	0.036579991	1	0	0.188408991	8.8304	0.9397	0.042553	0.0313	0.054344	0.6742316
153	丰原药业	2022	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.020338793	0.035668242	1	0	0.198324022	9.9392	0.9665	0.038092	0.0377	0.143461	0.6809345
153	丰原药业	2023	安徽省	中部地区	芜湖市	医药制造业	生物药品制造	0.024302686	0.035760171	1	0	0.222055675	10.6148	0.965	0.046394	0.0368	0.067786	0.7033242
157	中联重科	2017	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.037548625	0.198499369	1	0	0.050070574	19.3144	0.2702	0.049312	0.0536	0.162336	0.6182249
157	中联重科	2018	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.037643455	0.206269427	1	0	0.05614708	19.1214	0.325	0.042951	0.0682	0.233046	0.6104424
157	中联重科	2019	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.048297017	0.230858225	1	0	0.064577198	18.5591	0.4669	0.043967	0.0987	0.50915	0.6889514
157	中联重科	2020	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.053773986	0.254675281	1	0	0.079139748	18.6166	0.625	0.039172	0.113	0.503414	0.7700495
157	中联重科	2021	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.063007186	0.278153326	1	0	0.091027808	20.2869	0.5634	0.044845	0.0951	0.031051	0.7417111
157	中联重科	2022	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.082718677	0.297077087	1	0	0.101570225	20.8422	0.3391	0.043103	0.0573	-0.379843	0.6953045
157	中联重科	2023	湖南省	中部地区	长沙市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.085686319	0.327029415	1	0	0.120865098	20.2515	0.3701	0.038858	0.0801	0.130751	0.7515562
333	美的集团	2017	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.035311864	0.103313496	1	0	0.028489777	27.4861	1.1498	0.061131	0.0773	0.513495	0.8388125
333	美的集团	2018	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.037782573	0.107358515	1	0	0.032675467	26.5739	1.0147	0.061383	0.0834	0.078735	0.7453982
333	美的集团	2019	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.034642639	0.10175912	1	0	0.032780566	24.676	0.9837	0.05128	0.0909	0.071443	0.6714274
333	美的集团	2020	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.035601374	0.107686329	1	0	0.036793332	23.7305	0.8582	0.042794	0.0968	0.021585	0.6324992
333	美的集团	2021	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.035210251	0.109198487	1	0	0.033220948	23.903	0.912	0.044267	0.085	0.20059	0.6117651
333	美的集团	2022	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.0366905	0.125009775	1	0	0.039267819	25.7618	0.8487	0.040016	0.0867	0.007867	0.6033248
333	美的集团	2023	广东省	东部地区	佛山市	电气机械及器材制造业	电线、电缆、光缆及电工器材制造	0.039198521	0.117021544	1	0	0.036513219	24.0073	0.8189	0.037976	0.0907	0.081763	0.5618075
338	潍柴动力	2017	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.037254022	0.147504951	1	0	0.261581566	65.8946	0.8572	0.125713	0.0606	0.626569	1.539021
338	潍柴动力	2018	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.040774773	0.161033656	1	0	0.28408902	68.0547	0.8065	0.113503	0.073	0.050712	1.515562
338	潍柴动力	2019	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.042136773	0.171238191	1	0	0.316758706	69.4696	0.7888	0.098955	0.0683	0.094848	1.57219
338	潍柴动力	2020	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.04199727	0.120918851	1	0	0.349551377	71.8209	0.7782	0.087999	0.0571	0.132657	1.554361
338	潍柴动力	2021	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.042096802	0.24261402	1	0	0.372383768	78.8044	0.7432	0.075469	0.0568	0.030668	1.614372
338	潍柴动力	2022	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.050531084	0.300374661	1	0	0.385836097	77.8887	0.6138	0.077501	0.0324	-0.139477	1.589454
338	潍柴动力	2023	山东省	东部地区	潍坊市	汽车制造业	电车制造	0.041983273	0.314805871	1	0	0.419629171	91.0223	0.6815	0.069025	0.0524	0.22152	1.568949
400	许继电气	2017	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.047487124	0.371423525	1	0	0.123277994	15.9213	0.6978	0.02566	0.066	0.075332	0.8418404
400	许继电气	2018	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.061916299	0.407598672	1	0	0.133161195	17.7671	0.5499	0.033759	0.0333	-0.204648	0.8610244
400	许继电气	2019	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.052817543	0.405535946	1	0	0.134683262	19.5143	0.6847	0.041416	0.0487	0.236051	0.9257202
400	许继电气	2020	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.047596025	0.44149991	1	0	0.138813773	19.561	0.7017	0.047762	0.0717	0.101921	0.9538189
400	许继电气	2021	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.05143055	0.455844632	1	0	0.150787834	21.8945	0.6956	0.045399	0.0715	0.07144	0.9580121
400	许继电气	2022	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.046141294	0.445152159	1	0	0.354210899	22.963	0.8146	0.040317	0.065	0.244085	1.270361
400	许继电气	2023	河南省	中部地区	许昌市	电气机械及器材制造业	电池制造	0.046528422	0.442677972	1	0	0.204204204	25.4866	0.8351	0.036362	0.0695	0.143687	0.990704
404	长虹华意	2017	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.032857718	0.103089582	1	0	0.012886198	11.7269	0.8975	0.01849	0.0261	0.164969	0.4383423
404	长虹华意	2018	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.033165369	0.090862091	1	0	0.010598423	10.52	0.8879	0.030438	0.0184	0.098187	0.4214243
404	长虹华意	2019	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.033112045	0.07305819	1	0	0.011150987	12.0179	0.9428	0.029085	0.0104	0.076132	0.4162818
404	长虹华意	2020	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.037912197	0.069080637	1	0	0.010143811	12.0417	0.9867	0.02536	0.0174	0.090078	0.4437436
404	长虹华意	2021	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.034387803	0.07307743	1	0	0.01028888	13.1582	1.1644	0.024299	0.0219	0.262707	0.4517687
404	长虹华意	2022	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.036223531	0.099291728	1	0	0.011626353	14.0009	1.0776	0.021955	0.0319	-0.007847	0.4408217
404	长虹华意	2023	江西省	中部地区	景德镇市	通用设备制造业	锅炉及原动设备制造	0.037005017	0.048608439	1	0	0.01064512	15.1365	0.9736	0.014661	0.0412	-0.015767	0.3790033
423	东阿阿胶	2017	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.030588354	0.078887274	1	0	0.052314719	12.2949	0.6604	0.02657	0.2773	0.167039	0.5018762
423	东阿阿胶	2018	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.033208753	0.078990902	1	0	0.050248139	14.501	0.5592	0.030373	0.2843	-0.004615	0.4651715
423	东阿阿胶	2019	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.069609759	0.08723748	1	0	0.042003231	14.67	0.2318	0.036397	-0.1505	-0.596825	0.4074423
423	东阿阿胶	2020	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.04506103	0.083832335	1	0	0.080062098	13.5832	0.3017	0.040366	0.012	0.152373	0.5120677
423	东阿阿胶	2021	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.038386581	0.072009569	1	0	0.039712919	17.3582	0.3409	0.035175	0.114	0.128921	0.4289594
423	东阿阿胶	2022	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.034070263	0.083985957	1	0	0.087496624	22.3001	0.3332	0.026288	0.1928	0.0501	0.5091258
423	东阿阿胶	2023	山东省	东部地区	聊城市	医药制造业	化学药品原料药制造	0.034886128	0.087819467	1	0	0.056552474	26.0644	0.3636	0.024237	0.2443	0.16662	0.4818983
425	徐工机械	2017	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.056074333	0.158737151	1	0	0.087298091	15.586	0.6215	0.039845	0.0353	0.724629	0.7571833
425	徐工机械	2018	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.045378162	0.165525911	1	0	0.091423383	17.2229	0.8	0.035955	0.0463	0.524488	0.7406642
425	徐工机械	2019	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.041509132	0.179666413	1	0	0.104713129	20.4981	0.8543	0.031012	0.0616	0.332492	0.7576048
425	徐工机械	2020	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.050724483	0.185504575	1	0	0.110657626	21.1124	0.8749	0.027163	0.0506	0.249969	0.7917983
425	徐工机械	2021	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.052798968	0.188787703	1	0	0.11412517	25.5277	0.8356	0.028354	0.067	0.140053	0.7762383
425	徐工机械	2022	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.061294739	0.210037513	1	0	0.129912226	26.6174	0.6581	0.036801	0.0458	0.112532	0.8006396
425	徐工机械	2023	江苏省	东部地区	徐州市	专用设备制造业	印刷、制药、日化及日用品生产专用设备制造	0.054268016	0.241789133	1	0	0.145642814	25.0973	0.5509	0.045518	0.0564	-0.010328	0.7701581
513	丽珠集团	2017	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.067460224	0.084159127	1	0	0.051845469	11.8279	0.6456	0.016594	0.526	0.114901	0.5501518
513	丽珠集团	2018	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.077560783	0.093990353	1	0	0.060096467	13.9056	0.5316	0.014004	0.1334	0.038646	0.5189998
513	丽珠集团	2019	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.088199972	0.08082936	1	0	0.050005544	13.8577	0.53	0.01277	0.1557	0.059142	0.4932266
513	丽珠集团	2020	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.094063988	0.108880124	1	0	0.059400024	16.9903	0.5456	0.011482	0.2026	0.121018	0.5873073
513	丽珠集团	2021	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.126265997	0.109090909	1	0	0.056993007	19.5652	0.5616	0.011634	0.1618	0.14671	0.627307
513	丽珠集团	2022	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.110951584	0.108051083	1	0	0.055968906	20.789	0.5347	0.022419	0.1548	0.046893	0.6022618
513	丽珠集团	2023	广东省	东部地区	珠海市	医药制造业	兽用药品制造	0.0993651	0.101421695	1	0	0.061681406	20.8117	0.4981	0.017021	0.1527	-0.015799	0.5321447
519	中兵红箭	2017	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.041803303	0.158633175	1	0	0.009278117	9.6838	0.4778	0.058295	0.0252	0.256374	0.48289
519	中兵红箭	2018	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.049757383	0.187036121	1	0	0.010390896	11.7089	0.4916	0.052884	0.0702	0.037321	0.4910668
519	中兵红箭	2019	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.054963499	0.182090626	1	0	0.012706785	12.1651	0.4966	0.048015	0.048	0.074298	0.4859193
519	中兵红箭	2020	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.048185363	0.188206215	1	0	0.014948211	12.5589	0.5577	0.042184	0.0425	0.21448	0.5127354
519	中兵红箭	2021	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.056919275	0.195806639	1	0	0.02760629	15.4021	0.5736	0.035121	0.0646	0.162563	0.5252343
519	中兵红箭	2022	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.081664126	0.21386604	1	0	0.033490012	17.6481	0.4625	0.031371	0.122	-0.106482	0.5424492
519	中兵红箭	2023	湖南省	中部地区	湘潭市	专用设备制造业	电子和电工机械专用设备制造	0.113646259	0.239330544	1	0	0.043395099	19.4716	0.3995	0.028906	0.1354	-0.089025	0.5931394
521	长虹美菱	2017	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.045338634	0.091390651	1	1	0.008207695	9.2966	1.18	0.04842	0.0021	0.34093	1.010611
521	长虹美菱	2018	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.046983105	0.099818402	1	1	0.008958838	10.6388	1.1097	0.052538	0.002	0.041241	1.002145
521	长虹美菱	2019	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.047263951	0.109081829	1	1	0.011343369	12.2019	1.1123	0.065711	0.0026	-0.053568	1.040619
521	长虹美菱	2020	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.036148375	0.09599517	1	1	0.01093446	11.5505	1.0155	0.058177	-0.0051	-0.070391	0.989861
521	长虹美菱	2021	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.034578543	0.102380023	1	1	0.013343738	14.7522	1.1525	0.062763	0.0048	0.171881	1.044787
521	长虹美菱	2022	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.032446696	0.107038123	1	1	0.013405949	14.5817	1.288	0.055589	0.0137	0.121015	1.046066
521	长虹美菱	2023	安徽省	中部地区	合肥市	电气机械及器材制造业	其他电气机械及器材制造	0.028966157	0.103226206	1	1	0.011641588	14.6147	1.3625	0.045713	0.0319	0.199476	1.022821
528	柳工	2017	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.033941156	0.101187648	1	0	0.047980998	12.9683	0.5333	0.030823	0.0286	0.607934	0.5339739
528	柳工	2018	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.030937149	0.102783726	1	0	0.0464974	16.2802	0.7556	0.029652	0.0465	0.605513	0.5775174
528	柳工	2019	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.03512234	0.106638281	1	0	0.054673892	17.5864	0.684	0.026455	0.056	0.060407	0.5262656
528	柳工	2020	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.032342824	0.100364964	1	0	0.044023723	15.6063	0.7203	0.028295	0.0585	0.199468	0.5164144
528	柳工	2021	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.032567794	0.103901413	1	0	0.0518631	17.0361	0.7711	0.030989	0.0355	0.247719	0.5208752
528	柳工	2022	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.035402906	0.095948569	1	0	0.053372149	17.9293	0.6404	0.035847	0.0244	-0.077385	0.4853566
528	柳工	2023	广西壮族自治区	西部地区	柳州市	专用设备制造业	纺织、服装和皮革加工专用设备制造	0.038047577	0.117827499	1	0	0.055034284	19.7606	0.6195	0.03116	0.0342	0.039252	0.496056
530	冰山冷热	2017	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.0451	0.155272306	1	1	0.035341831	21.744	0.3923	0.02561	0.0984	0.168708	1.041962
530	冰山冷热	2018	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.038535374	0.157108722	1	1	0.037037037	22.928	0.3515	0.026403	0.057	-0.054647	1.000978
530	冰山冷热	2019	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.035086187	0.159924147	1	1	0.039823009	24.6342	0.3302	0.025616	0.047	-0.068265	1.015631
530	冰山冷热	2020	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.033221769	0.107760354	1	1	0.030156815	13.8874	0.3082	0.025599	0.0132	-0.057092	0.8436441
530	冰山冷热	2021	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.031241388	0.122334004	1	1	0.030583501	15.5173	0.366	0.024861	-0.1317	0.209545	0.8553116
530	冰山冷热	2022	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.026543568	0.141797961	1	1	0.033364226	23.677	0.4338	0.02211	0.0069	0.384776	0.9502801
530	冰山冷热	2023	辽宁省	东部地区	大连市	通用设备制造业	文化、办公用机械制造	0.034092133	0.129539672	1	1	0.033541522	20.4828	0.611	0.025794	0.0112	0.664639	0.9781596
538	云南白药	2017	云南省	西部地区	昆明市	医药制造业	化学药品制剂制造	0.003456169	0.084518929	1	0	0.041596335	17.19	0.93	0.011529	0.1288	0.084958	0.4873749
538	云南白药	2018	云南省	西部地区	昆明市	医药制造业	化学药品制剂制造	0.004129969	0.08812593	1	0	0.041522062	18.7119	0.9197	0.010265	0.1232	0.098443	0.4879588
538	云南白药	2019	云南省	西部地区	昆明市	医药制造业	化学药品制剂制造	0.005861782	0.092072871	1	0	0.041851305	25.9677	0.7413	0.010842	0.1407	0.110695	0.5284214
